"continent","iso","admin_0","admin_1","id_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","ETH","Ethiopia","Gambela",10314037,"14.62","15.31","16.07",0.1492,0.1566,0.164,"Pessimistic"
"Africa","ETH","Ethiopia","Hareri",10315893,"11.94","12.96","14.18",0.1692,0.185,0.2008,"Pessimistic"
"Africa","ETH","Ethiopia","Oromia",10316246,"17.26","18.33","19.54",0.1227,0.1308,0.1389,"Pessimistic"
"Africa","ETH","Ethiopia","SNNPR",10313355,"16.66","17.74","18.97",0.1264,0.1352,0.1439,"Pessimistic"
"Africa","ETH","Ethiopia","Somali",10316072,"20.52","21.85","23.37",0.1026,0.1097,0.1169,"Pessimistic"
"Africa","ETH","Ethiopia","Tigray",10313464,"16.77","18.3","20.15",0.119,0.131,0.143,"Pessimistic"
"Africa","GAB","Gabon","Estuaire",10315694,"15.13","15.6","16.1",0.1489,0.1537,0.1585,"Pessimistic"
"Africa","GAB","Gabon","Haut-Ogooue",10315674,"14.42","14.86","15.33",0.1564,0.1614,0.1663,"Pessimistic"
"Africa","GAB","Gabon","Moyen-Ogooue",10313036,"14.36","14.82","15.32",0.1565,0.1618,0.167,"Pessimistic"
"Africa","GAB","Gabon","Ngounie",10315465,"15.82","16.33","16.88",0.1421,0.1468,0.1515,"Pessimistic"
"Africa","GAB","Gabon","Nyanga",10316418,"14.55","14.94","15.34",0.1563,0.1605,0.1648,"Pessimistic"
"Africa","GAB","Gabon","Ogooue-Ivindo",10313998,"19.68","20.25","20.86",0.115,0.1184,0.1218,"Pessimistic"
"Africa","GAB","Gabon","Ogooue-Maritime",10316420,"14","14.41","14.85",0.1615,0.1664,0.1713,"Pessimistic"
"Africa","GAB","Gabon","Ogooue-lolo",10315314,"17.14","17.7","18.3",0.1311,0.1355,0.1399,"Pessimistic"
"Africa","GAB","Gabon","Woleu-Ntem",10315257,"16.84","17.25","17.68",0.1356,0.139,0.1424,"Pessimistic"
"Africa","GHA","Ghana","Ashanti",10315113,"6.93","7.12","7.32",0.3276,0.3367,0.3458,"Pessimistic"
"Africa","GHA","Ghana","Brong Ahafo",10313233,"7.27","7.41","7.56",0.3174,0.3237,0.33,"Pessimistic"
"Africa","GHA","Ghana","Central",10315532,"7.91","8.05","8.2",0.2926,0.2979,0.3031,"Pessimistic"
"Africa","GHA","Ghana","Eastern",10314341,"8.14","8.28","8.42",0.2847,0.2896,0.2945,"Pessimistic"
"Africa","GHA","Ghana","Greater Accra",10315061,"6.1","6.26","6.43",0.373,0.383,0.3931,"Pessimistic"
"Africa","GHA","Ghana","Northern",10314472,"6.97","7.08","7.19",0.3334,0.3387,0.344,"Pessimistic"
"Africa","GHA","Ghana","Upper East",10316047,"6.27","6.41","6.56",0.3655,0.3741,0.3827,"Pessimistic"
"Africa","GHA","Ghana","Upper West",10314282,"6.61","6.71","6.81",0.3521,0.3575,0.363,"Pessimistic"
"Africa","GHA","Ghana","Volta",10314522,"6.65","6.75","6.85",0.3499,0.3552,0.3604,"Pessimistic"
"Africa","GHA","Ghana","Western",10315836,"7.85","7.96","8.07",0.2973,0.3014,0.3055,"Pessimistic"
"Africa","GIN","Guinea","Boke",10315509,"17.98","18.55","19.15",0.1252,0.1293,0.1333,"Pessimistic"
"Africa","GIN","Guinea","Conakry",10313882,"17.65","18.29","18.98",0.1263,0.1311,0.1358,"Pessimistic"
"Africa","GIN","Guinea","Faranah",10313074,"18.17","18.55","18.94",0.1266,0.1293,0.132,"Pessimistic"
"Africa","GIN","Guinea","Kankan",10316006,"20.85","21.47","22.13",0.1083,0.1117,0.115,"Pessimistic"
"Africa","GIN","Guinea","Kindia",10314339,"20.48","21.08","21.72",0.1104,0.1137,0.1171,"Pessimistic"
"Africa","GIN","Guinea","Labe",10315826,"21.77","22.6","23.5",0.102,0.1061,0.1101,"Pessimistic"
"Africa","GIN","Guinea","Mamou",10314312,"20.32","20.93","21.58",0.1111,0.1146,0.118,"Pessimistic"
"Africa","GIN","Guinea","Nzerekore",10315690,"18.1","18.49","18.89",0.1269,0.1297,0.1325,"Pessimistic"
"Africa","GMB","Gambia","Central River",10315687,"18.01","18.95","19.98",0.12,0.1266,0.1331,"Pessimistic"
"Africa","GMB","Gambia","Kanifing Municipal Council",604492672,"18","18.72","19.51",0.1229,0.1281,0.1332,"Pessimistic"
"Africa","GMB","Gambia","Lower River",10315735,"17.79","18.71","19.74",0.1215,0.1282,0.1348,"Pessimistic"
"Africa","GMB","Gambia","North Bank",10315182,"17.59","18.45","19.4",0.1236,0.13,0.1364,"Pessimistic"
"Africa","GMB","Gambia","Upper River",10314195,"18","18.94","19.97",0.1201,0.1266,0.1332,"Pessimistic"
"Africa","GMB","Gambia","West Coast",10315523,"18.25","18.98","19.77",0.1213,0.1263,0.1314,"Pessimistic"
"Africa","GNB","Guinea-Bissau","Bafata",10313057,"15.88","16.74","17.69",0.1355,0.1432,0.151,"Pessimistic"
"Africa","GNB","Guinea-Bissau","Biombo",10313181,"15.06","16.04","17.17",0.1397,0.1495,0.1593,"Pessimistic"
"Africa","GNB","Guinea-Bissau","Bissau",10313570,"14.83","15.91","17.16",0.1397,0.1507,0.1617,"Pessimistic"
"Africa","GNB","Guinea-Bissau","Bolama",10313370,"15.72","16.91","18.29",0.1311,0.1418,0.1525,"Pessimistic"
"Africa","GNB","Guinea-Bissau","Cacheu",10314022,"15.19","16.23","17.43",0.1376,0.1477,0.1579,"Pessimistic"
"Africa","GNB","Guinea-Bissau","Gabu",10315399,"16","16.74","17.56",0.1366,0.1432,0.1498,"Pessimistic"
"Africa","GNB","Guinea-Bissau","Oio",10316231,"15.56","16.53","17.62",0.1361,0.1451,0.1541,"Pessimistic"
"Africa","GNB","Guinea-Bissau","Quinara",10313348,"15.8","16.65","17.6",0.1363,0.144,0.1517,"Pessimistic"
"Africa","GNB","Guinea-Bissau","Tombali",10315372,"15.92","16.78","17.74",0.1351,0.1429,0.1506,"Pessimistic"
"Africa","GNQ","Equatorial Guinea","Bioko Norte",10316118,"6.63","6.76","6.9",0.3476,0.3548,0.3619,"Pessimistic"
"Africa","GNQ","Equatorial Guinea","Bioko Sur",10315162,"6.58","6.73","6.89",0.3481,0.3563,0.3645,"Pessimistic"
"Africa","GNQ","Equatorial Guinea","Centro Sur",10313108,"6.53","6.69","6.85",0.3499,0.3587,0.3674,"Pessimistic"
